ref,price by Wh,type,dimension,gamme puissance,efficacite,poids,region,prix theorique
JA SolarJAM60D20 360-385/MB,0.295,"Bifacial, PERC",1774x1052x35,360 ~ 385,19.3 ~ 20.6,23,Pologne,106.19999999999999
Austa EnergyAU-108MH 390-410W,0.280,Monocristallin,1724x1134x30,390 ~ 410,19.94 ~ 20.97,21.5,Allemagne,109.20000000000002
MSMDxxxM12-66 210 M12 650W-670W,0.300,Monocristallin,2384x1303x35,650 ~ 670,20.9 ~ 21.6,33.9,Allemagne,195.0
RMH54/415S1,0.228,PERC,1722x1134x30,415,21.3,21.5,Belgique,94.62
AEG SolarAS-M1202B-GH(G1),0.372,Monocristallin,1684x1002x35,320 ~ 330,18.96 ~ 19.56,21.9,Pays-Bas,119.03999999999999
Luxor SolarEco Line Half Cell Full Black M108 / ...,0.343,Monocristallin,1722x1134x30,395 ~ 415,20.54 ~ 21.56,--,Pologne,135.485
Phono SolarTwinPlus 445-465 Mono-PERC,0.285,PERC,2101x1039x35,445 ~ 465,20.39 ~ 21.3,25,Pologne,126.82499999999999
AE480TMC-144BDS Comet,0.293,Monocristallin,2094x1038x30,460 ~ 480,21.16 ~ 22.08,27.5,Allemagne,134.78
JA SolarJAM60S20 370-395/MR,0.289,Monocristallin,1769x1052x35,370 ~ 395,19.9 ~ 21.2,20.2,Pologne,106.92999999999999
Trina SolarVertex S TSM-DE09.08 390-405W,0.448,Monocristallin,1754x1096x30,390 ~ 405,20.3 ~ 21.1,21,France,174.72
Leapton SolarLP182-M-60-MH 440-460W,0.278,Monocristallin,1909x1134x30,440 ~ 460,20.33 ~ 21.25,23.5,Pologne,122.32000000000001
Black Panther RCM-350-380-6ME (full-b...,0.248,PERC,1755x1038x35,350 ~ 380,19.2 ~ 20.9,19.5,France,86.8
Iberian SolarIBS72P,0.270,Polycristallin,1956x992x40,340,17.52,22.5,Espagne,91.80000000000001
AEG SolarAS-M3207U-S(G12),0.372,Monocristallin,1899x1096x30,430 ~ 435,20.7 ~ 20.9,21.8,Tchèque,159.96
AXIbipremium XQ HC MT 650-670,0.310,Bifacial,2384x1303x35,650 ~ 670,20.93 ~ 21.58,34,Allemagne,201.5
Trina SolarVertex S TSM-DE09 390-405W,0.310,Monocristallin,1754x1096x30,390 ~ 405,20.3 ~ 21.1,21,Pologne,120.9
MSMDxxxM10-72 530W-550W,0.300,Monocristallin,2279x1134x35,530 ~ 550,20.4 ~ 21.2,29,Allemagne,159.0
DMEGC Solar EnergyDM335G1-60HBB,0.251,Monocristallin,1684x1002x35,320 ~ 335,18.96 ~ 19.85,18.8,Pays-Bas,80.32
Luxor SolarEco Line Half Cell M144/440-460W,0.325,Monocristallin,2108x1048x35,440 ~ 460,19.68 ~ 20.58,25.5,Pologne,143.0
KensolKS400M-SH,0.300,Monocristallin,1646x1140x30,400,21.3,19,Pologne,120.0
AE MD-144BD 535-550W Double Glass,0.263,Bifacial,2278x1133x35,535 ~ 550,20.73 ~ 21.31,33,Allemagne,140.705
Hyundai Energy SolutionsHiE-S410-420SI,0.380,PERC,1942x1069x40,410 ~ 420,19.7 ~ 20.2,24,Pologne,155.8
DAH SolarDHM-72X10/BF/FS 540~555W,0.312,PERC,2279x1134x35,540 ~ 555,20.89 ~ 21.48,29,Pologne,168.48
Puma RCM-450-460-SBML,0.228,"Bifacial, PERC",1969x1140x35,450 ~ 460,20 ~ 20.5,24.5,France,102.60000000000001
Iberian SolarIBS144M -450BF Black Frame,0.270,PERC,2102x1040x35,450,20.58,24,Espagne,121.50000000000001
CSI SolarHiKu6 CS6R-395-420MS,0.304,PERC,1722x1134x30,395 ~ 420,20.2 ~ 21.5,21.3,Tchèque,120.08
AXIpremium XXL HC 530-540MH/144V,0.310,Monocristallin,2278x1134x35,530 ~ 545,20.52 ~ 21.09,28.5,Allemagne,164.3
JA SolarJAM72S20 445-470/MR,0.300,Monocristallin,2112x1052x35,445 ~ 470,20 ~ 21.2,24.5,Pologne,133.5
MSMD560-580G12-HJT110DS,0.300,HJT,2384x1096x35,560 ~ 580,21.4 ~ 22.2,32.3,Allemagne,168.0
DMEGC Solar EnergyDM375M6-60HSW,0.230,PERC,1776x1052x35,360 ~ 375,19.27 ~ 20.07,21.1,Pays-Bas,82.8
AE MD-144 535-550W Single Glass,0.262,Bifacial,2278x1133x35,535 ~ 550,20.73 ~ 21.31,27,Allemagne,140.17000000000002
JA SolarJAM72S20 445-470/MR,0.299,Monocristallin,2112x1052x35,445 ~ 470,20 ~ 21.2,24.5,Pologne,133.055
Black Panther RCM-525-545-7BMF,0.238,"PERC, Bifacial",2279x1134x35,525 ~ 545,20.3 ~ 21.1,28.2,France,124.94999999999999
JolywoodJW-HD144N-445-470,0.305,Bifacial,2095x1039x30,445 ~ 470,20.44 ~ 21.59,28,Tchèque,135.725
AXIblackpremium XXL HC 390-400/108V,0.330,Monocristallin,1722x1134x30,375 ~ 400,19.18 ~ 20.48,22,Allemagne,123.75
NRS-FLX-75-510W,0.650,Couche mince (CIS),--,125 ~ 510,17,--,Belgique,81.25
Q CELLSQ.peak Duo ML-G11 Series 480-500 Wp,0.365,Monocristallin,2054x1134x32,480 ~ 500,20.6 ~ 21.5,26,Pologne,175.2
NRS-Denim-B415-V4,0.300,PERC,1924x1038x35,415,20.8,22,Belgique,124.5
