ref;price by Wh;type;efficacite;gamme puissance;poids;region;dimension;prix theorique
JA SolarJAM60D20 360-385/MB;0.295;Bifacial, PERC;19.3 ~ 20.6;360 ~ 385;23;Pologne;1774x1052x35;106.19999999999999
Austa EnergyAU-108MH 390-410W;0.280;Monocristallin;19.94 ~ 20.97;390 ~ 410;21.5;Allemagne;1724x1134x30;109.20000000000002
RT200WM 200W-270W;0.186;Monocristallin;16.8 ~ 18.6;200 ~ 270;12.2;Chine;1500x670x35;37.2
21 Series MBB Half Cell Mono 580-610W;0.238;Monocristallin;20.8 ~ 21.6;590 ~ 610;30.5;Chine;2712x1303x35;140.42
MSMDxxxM12-66 210 M12 650W-670W;0.300;Monocristallin;20.9 ~ 21.6;650 ~ 670;33.9;Allemagne;2384x1303x35;195.0
SL5M144 535-550W;0.238;PERC;20.7 ~ 21.3;535 ~ 550;28;Chine;2279x1134x35;127.33
JMPV-X1/72-550-560(R);0.253;Bifacial, HJT;21.29 ~ 21.68;550 ~ 560;27.8;Chine;2278x1134x35;139.15
RMH54/415S1;0.228;PERC;21.3;415;21.5;Belgique;1722x1134x30;94.62
(9BB) 435-455BM-72Half cells solar panel;0.243;Monocristallin;19.4 ~ 20.3;435 ~ 455;28;Chine;2131x1052x30;105.705
AEG SolarAS-M1202B-GH(G1);0.372;Monocristallin;18.96 ~ 19.56;320 ~ 330;21.9;Pays-Bas;1684x1002x35;119.03999999999999
Luxor SolarEco Line Half Cell Full Black M108 / ...;0.343;Monocristallin;20.54 ~ 21.56;395 ~ 415;--;Pologne;1722x1134x30;135.485
Cortex P4 Series 590-605W;0.380;Monocristallin;20.8 ~ 21.4;590 ~ 605;30.9;États-Unis;2172x1303x35;224.2
JD650-675-DE21M(20);0.214;Monocristallin;20.9 ~ 21.7;650 ~ 675;34;Chine;2384x1303x35;139.1
SW460M-144;0.217;Monocristallin;19.92 ~ 20.82;440 ~ 460;24.5;Chine;2094x1038x35;95.48
Mono400W-410Watt-450Watt-500Watt;0.251;PERC;20.5 ~ 23.5;400 ~ 500;21.68;Chine;1722x1134x30;100.4
RS7I-M 425-460W;0.212;Monocristallin;19.24 ~ 20.67;425 ~ 460;23;Chine;2115x1052x30;90.1
Black Module_FDS-M6M-60-355;0.219;Monocristallin;18.34 ~ 19.26;340 ~ 355;20;Chine;1776x1052x35;74.46
UL-450-460M-144 (Half-cut);0.238;Monocristallin;20.7 ~ 21.16;450 ~ 460;24;Chine;2094x1038x35;107.1
Trina SolarVertex S TSM-DE09.05 380-395W;0.236;Monocristallin;19.8 ~ 20.5;380 ~ 395;21;Chine;1754x1096x30;89.67999999999999
Phono SolarTwinPlus 445-465 Mono-PERC;0.285;PERC;20.39 ~ 21.3;445 ~ 465;25;Pologne;2101x1039x35;126.82499999999999
AOX-72M10HC540-555W;0.229;PERC;20.9 ~ 21.5;540 ~ 555;27;Chine;2278x1134x35;123.66000000000001
AE480TMC-144BDS Comet;0.293;Monocristallin;21.16 ~ 22.08;460 ~ 480;27.5;Allemagne;2094x1038x30;134.78
GPNE-S144/M6H 435-460W;0.196;Monocristallin;20 ~ 21.1;435 ~ 460;23.8;Chine;2095x1039x35;85.26
EVVO 530-540W-182M/144;0.238;PERC;20.49 ~ 20.88;530 ~ 540;28.6;Inde;2280x1135x35;126.14
SPHM6-72L 550W;0.233;Monocristallin;21.3;550;28;Chine;2278x1135x35;128.15
YH100-370W 18-36M;0.220;Monocristallin;17.3 ~ 21.24;100 ~ 370;18.3;Chine;1980x880x35;22.0
STM-525-550/144-S3;0.219;Monocristallin;20.31 ~ 21.28;525 ~ 550;28.6;Chine;2279x1134x35;114.975
JST210*210-M-66-MH-(650-670)W;0.171;Monocristallin;20.92 ~ 21.57;650 ~ 670;34;Chine;2384x1303x35;111.15
SKT525-550M10;0.227;Monocristallin;20.3 ~ 21.3;525 ~ 550;28.6;Chine;2279x1134x35;119.175
ERA-72HC 520-550M;0.243;Monocristallin;20.3 ~ 21.5;520 ~ 550;27.2;Chine;2279x1134x35;126.36
JA SolarJAM60S20 370-395/MR;0.289;Monocristallin;19.9 ~ 21.2;370 ~ 395;20.2;Pologne;1769x1052x35;106.92999999999999
ECO-530-550M-72LHC;0.280;Monocristallin;20.53 ~ 21.33;530 ~ 550;27.3;Chine;2278x1133x35;148.4
SS8-54HSB 390~410M All Black;0.243;PERC;19.98 ~ 21;390 ~ 410;22;Chine;1722x1134x30;94.77
AU-108MHB 390-410W;0.267;Monocristallin;19.94 ~ 20.97;390 ~ 410;21.5;Chine;1724x1134x35;104.13000000000001
M10 144 cells 525-545W Mono;0.233;Monocristallin;20.31 ~ 21.09;525 ~ 545;28.5;Chine;2279x1134x35;122.325
LF415M10-54H;0.219;Monocristallin;20.2 ~ 21.2;395 ~ 415;21.5;Chine;1724x1134x35;86.505
FLSU-525-545M;0.265;Monocristallin;20.31 ~ 21.09;525 ~ 545;28.5;Chine;2279x1134x35;139.125
JS182MHC144 525-550W;0.248;Monocristallin;20.89 ~ 21.28;525 ~ 550;26.5;Chine;2279x1134x35;130.2
Trina SolarVertex S TSM-DE09.08 390-405W;0.448;Monocristallin;20.3 ~ 21.1;390 ~ 405;21;France;1754x1096x30;174.72
G12M400-60H-V;0.240;Monocristallin;20.6;400;21;Chine;1775x1096x30;96.0
Leapton SolarLP182-M-60-MH 440-460W;0.278;Monocristallin;20.33 ~ 21.25;440 ~ 460;23.5;Pologne;1909x1134x30;122.32000000000001
HRAP-144H525-550M10;0.232;Monocristallin;20.3 ~ 21.3;525 ~ 550;29;Chine;2279x1134x35;121.80000000000001
HITOUCH4-HJT CP17-60HT 380-400W;0.281;Bifacial, HJT;21 ~ 21.95;380 ~ 400;22.2;Chine;1755x1038x30;106.78000000000002
ZPM530-550HG-72 Double-Glass Bifacial...;0.239;Bifacial, PERC;20.45 ~ 21.22;530 ~ 550;32;Chine;2285x1134x35;126.67
SF-M15/144 390-420W;0.258;Monocristallin;19.8 ~ 20.87;390 ~ 420;22.6;Chine;2018x1002x35;100.62
Black Panther RCM-350-380-6ME (full-b...;0.248;PERC;19.2 ~ 20.9;350 ~ 380;19.5;France;1755x1038x35;86.8
CBG-144-540M-S;0.219;PERC;20.3 ~ 21.3;525 ~ 550;28.5;Chine;2279x1134x35;114.975
HS72-M-360-400W;0.186;Monocristallin;18.6 ~ 20.32;360 ~ 400;22;Chine;1983x1007x40;66.96
Iberian SolarIBS72P;0.270;Polycristallin;17.52;340;22.5;Espagne;1956x992x40;91.80000000000001
QSUN-108MS-390-410W;0.254;Monocristallin;19.9 ~ 21;390 ~ 410;22;Chine;1722x1134x30;99.06
